,id,places,theme,cluster
1154,1147,"[2, 8, 9, 10, 15, 16, 186, 59]","[0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.125, 0.875, 0.25, 0.5, 0.25, 0.125, 0.375, 0.5, 0.375, 0.25, 0.125, 0.25, 0.875, 0.125, 0.0, 0.0]",2
1155,1148,"[76, 15, 19, 22, 58, 573]","[0.0, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.8333333333333334, 0.6666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.16666666666666666, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",7
1156,1149,"[8, 10, 3, 31]","[0.0, 0.0, 0.75, 0.25, 0.0, 0.0, 0.25, 0.75, 0.25, 0.5, 0.25, 0.25, 0.25, 0.5, 0.25, 0.25, 0.5, 0.0, 0.75, 0.25, 0.0, 0.0]",1
1157,1150,"[4, 6, 8, 14, 80, 19, 59]","[0.14285714285714285, 0.0, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285, 0.0, 0.14285714285714285, 0.7142857142857143, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.14285714285714285, 0.0, 0.7142857142857143, 0.2857142857142857, 0.0, 0.0]",7
1158,1151,"[2, 3, 4, 5, 200, 10, 16, 22, 60, 222]","[0.0, 0.1, 0.5, 0.4, 0.0, 0.1, 0.1, 0.8, 0.6, 0.1, 0.3, 0.2, 0.6, 0.2, 0.7, 0.3, 0.0, 0.0, 0.5, 0.4, 0.1, 0.0]",3
1159,1152,"[2, 3, 165, 5, 6, 8, 9, 76, 13, 110, 15, 17, 18, 22, 24, 28, 30, 223]","[0.05555555555555555, 0.05555555555555555, 0.3888888888888889, 0.5, 0.05555555555555555, 0.05555555555555555, 0.1111111111111111, 0.7777777777777778, 0.5555555555555556, 0.2777777777777778, 0.16666666666666666, 0.16666666666666666, 0.4444444444444444, 0.3888888888888889, 0.3888888888888889, 0.3888888888888889, 0.16666666666666666, 0.05555555555555555, 0.8333333333333334, 0.1111111111111111, 0.0, 0.05555555555555555]",7
1160,1153,"[248, 1, 174, 46]","[0.0, 0.0, 0.75, 0.25, 0.0, 0.0, 0.25, 0.75, 0.75, 0.25, 0.0, 0.0, 1.0, 0.0, 0.25, 0.75, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",6
1161,1154,"[1, 65, 3, 6, 8, 9, 42, 18, 211, 119, 28]","[0.09090909090909091, 0.0, 0.45454545454545453, 0.45454545454545453, 0.0, 0.0, 0.18181818181818182, 0.8181818181818182, 0.5454545454545454, 0.18181818181818182, 0.2727272727272727, 0.2727272727272727, 0.5454545454545454, 0.18181818181818182, 0.36363636363636365, 0.45454545454545453, 0.09090909090909091, 0.09090909090909091, 0.6363636363636364, 0.2727272727272727, 0.0, 0.09090909090909091]",3
1162,1155,"[25, 21, 3, 13]","[0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0, 0.25, 0.25, 0.5, 0.5, 0.0, 0.5, 0.5, 0.25, 0.25, 0.0, 0.75, 0.25, 0.0, 0.0]",2
1163,1156,"[4, 10, 75, 76, 21, 59]","[0.16666666666666666, 0.0, 0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.6666666666666666, 0.5, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.5, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0]",5
1164,1157,"[5, 13, 15, 114, 185, 254]","[0.0, 0.16666666666666666, 0.5, 0.3333333333333333, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334, 0.6666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.5, 0.0, 0.3333333333333333, 1.0, 0.0, 0.0, 0.0]",7
1165,1158,"[98, 165, 39, 10, 174, 22]","[0.0, 0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.8333333333333334, 0.0, 0.16666666666666666, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",6
1166,1159,"[2, 3, 200, 8, 270, 15, 17, 22, 317, 31]","[0.0, 0.1, 0.5, 0.4, 0.0, 0.1, 0.0, 0.9, 0.3, 0.5, 0.2, 0.2, 0.3, 0.5, 0.4, 0.3, 0.2, 0.1, 0.8, 0.1, 0.1, 0.0]",2
1167,1160,"[134, 456, 8, 13, 80, 18, 310]","[0.14285714285714285, 0.0, 0.42857142857142855, 0.42857142857142855, 0.14285714285714285, 0.0, 0.0, 0.8571428571428571, 0.5714285714285714, 0.42857142857142855, 0.0, 0.0, 0.42857142857142855, 0.5714285714285714, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.0, 0.8571428571428571, 0.0, 0.0, 0.14285714285714285]",1
1168,1161,"[1, 2, 3, 5, 6, 9, 15, 16, 17, 18, 143, 22, 24, 29, 31, 42, 49, 310, 311, 200, 223]","[0.047619047619047616, 0.047619047619047616, 0.3333333333333333, 0.5714285714285714, 0.047619047619047616, 0.047619047619047616, 0.09523809523809523, 0.8095238095238095, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285, 0.09523809523809523, 0.47619047619047616, 0.42857142857142855, 0.38095238095238093, 0.3333333333333333, 0.19047619047619047, 0.09523809523809523, 0.6666666666666666, 0.23809523809523808, 0.047619047619047616, 0.047619047619047616]",11
1169,1162,"[92, 53, 174, 47]","[0.25, 0.0, 0.5, 0.25, 0.0, 0.0, 0.25, 0.75, 0.75, 0.25, 0.0, 0.0, 0.75, 0.25, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",6
1170,1163,"[2, 9, 18, 22, 31, 29, 223]","[0.14285714285714285, 0.0, 0.42857142857142855, 0.42857142857142855, 0.14285714285714285, 0.14285714285714285, 0.0, 0.7142857142857143, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.0, 0.5714285714285714, 0.42857142857142855, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857, 0.0, 1.0, 0.0, 0.0, 0.0]",7
1171,1164,"[2, 134, 13, 336, 310, 25, 861, 94]","[0.0, 0.0, 0.375, 0.625, 0.0, 0.0, 0.0, 1.0, 0.25, 0.5, 0.25, 0.0, 0.5, 0.5, 0.25, 0.375, 0.375, 0.0, 0.875, 0.125, 0.0, 0.0]",2
1172,1165,"[131, 8, 10, 428, 174, 220]","[0.0, 0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334, 0.5, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5, 0.3333333333333333, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",6
1173,1166,"[2, 3, 4, 5, 6, 76, 13, 174, 15, 16, 179, 21, 22, 60, 573, 223]","[0.0, 0.0625, 0.4375, 0.5, 0.0, 0.125, 0.0625, 0.8125, 0.5625, 0.1875, 0.25, 0.25, 0.5, 0.25, 0.5, 0.3125, 0.125, 0.0625, 0.6875, 0.3125, 0.0, 0.0]",3
1174,1167,"[112, 20, 14]","[0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",3
1175,1168,"[162, 707, 3, 37, 6, 103, 5, 9, 13, 15, 80, 17, 434, 16, 22]","[0.2, 0.0, 0.3333333333333333, 0.4666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.8, 0.6666666666666666, 0.2, 0.13333333333333333, 0.13333333333333333, 0.4, 0.4666666666666667, 0.4666666666666667, 0.4, 0.0, 0.13333333333333333, 0.6666666666666666, 0.26666666666666666, 0.0, 0.06666666666666667]",11
1176,1169,"[32, 4, 7, 8, 103, 174, 79, 47, 25]","[0.1111111111111111, 0.0, 0.6666666666666666, 0.2222222222222222, 0.0, 0.0, 0.2222222222222222, 0.7777777777777778, 0.5555555555555556, 0.3333333333333333, 0.1111111111111111, 0.0, 0.6666666666666666, 0.3333333333333333, 0.2222222222222222, 0.5555555555555556, 0.2222222222222222, 0.0, 0.8888888888888888, 0.1111111111111111, 0.0, 0.0]",6
1177,1170,"[65, 573, 229, 7, 10, 46, 48, 23, 119, 24, 220, 317]","[0.0, 0.0, 0.4166666666666667, 0.5833333333333334, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334, 0.5833333333333334, 0.25, 0.16666666666666666, 0.16666666666666666, 0.5, 0.3333333333333333, 0.5, 0.4166666666666667, 0.08333333333333333, 0.0, 0.5833333333333334, 0.4166666666666667, 0.0, 0.0]",11
1178,1171,"[3, 8, 13, 310, 219, 28, 382]","[0.0, 0.0, 0.2857142857142857, 0.7142857142857143, 0.0, 0.0, 0.0, 1.0, 0.14285714285714285, 0.5714285714285714, 0.2857142857142857, 0.42857142857142855, 0.0, 0.5714285714285714, 0.42857142857142855, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.7142857142857143, 0.2857142857142857, 0.0, 0.0]",2
1179,1172,"[2, 3, 99, 197, 134, 8, 13, 31, 30, 63]","[0.1, 0.3, 0.3, 0.3, 0.1, 0.0, 0.1, 0.8, 0.3, 0.5, 0.2, 0.1, 0.5, 0.4, 0.2, 0.2, 0.4, 0.2, 0.8, 0.1, 0.0, 0.1]",0
1180,1173,"[768, 1, 32, 7, 393, 201, 11, 44, 650, 174, 334, 316, 157]","[0.0, 0.15384615384615385, 0.46153846153846156, 0.38461538461538464, 0.0, 0.07692307692307693, 0.15384615384615385, 0.7692307692307693, 0.6153846153846154, 0.15384615384615385, 0.23076923076923078, 0.3076923076923077, 0.6923076923076923, 0.0, 0.6153846153846154, 0.38461538461538464, 0.0, 0.0, 0.46153846153846156, 0.5384615384615384, 0.0, 0.0]",5
1181,1174,"[3, 2, 59]","[0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0, 1.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",9
1182,1175,"[223, 8, 10, 13, 46, 78, 56, 31]","[0.125, 0.0, 0.75, 0.125, 0.125, 0.0, 0.125, 0.75, 0.5, 0.5, 0.0, 0.0, 0.375, 0.625, 0.0, 0.375, 0.5, 0.125, 0.875, 0.0, 0.0, 0.125]",1
1183,1176,"[1, 3, 4, 10, 19, 22, 26, 59]","[0.0, 0.0, 0.75, 0.25, 0.0, 0.125, 0.25, 0.625, 0.5, 0.25, 0.25, 0.25, 0.5, 0.25, 0.5, 0.5, 0.0, 0.0, 0.75, 0.25, 0.0, 0.0]",5
1184,1177,"[65, 34, 229, 38, 22, 24, 57, 187]","[0.125, 0.25, 0.375, 0.25, 0.125, 0.25, 0.0, 0.625, 0.75, 0.125, 0.125, 0.125, 0.375, 0.5, 0.625, 0.25, 0.125, 0.0, 0.75, 0.125, 0.0, 0.125]",7
1185,1178,"[66, 5, 6, 40, 8, 10, 139, 174, 15, 16, 17, 18, 22, 248, 25, 187, 61, 30]","[0.1111111111111111, 0.1111111111111111, 0.4444444444444444, 0.3333333333333333, 0.0, 0.1111111111111111, 0.2222222222222222, 0.6666666666666666, 0.6666666666666666, 0.2777777777777778, 0.05555555555555555, 0.1111111111111111, 0.6111111111111112, 0.2777777777777778, 0.3333333333333333, 0.3888888888888889, 0.2222222222222222, 0.05555555555555555, 0.7222222222222222, 0.16666666666666666, 0.0, 0.1111111111111111]",5
1186,1179,"[5, 6, 76, 602, 88, 154]","[0.16666666666666666, 0.0, 0.3333333333333333, 0.5, 0.16666666666666666, 0.0, 0.3333333333333333, 0.5, 1.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666]",10
1187,1180,"[9, 10, 75, 275, 22]","[0.4, 0.0, 0.4, 0.2, 0.4, 0.2, 0.2, 0.2, 0.8, 0.0, 0.2, 0.0, 1.0, 0.0, 0.4, 0.6, 0.0, 0.0, 0.6, 0.2, 0.0, 0.2]",10
1188,1181,"[5, 8, 10, 174, 16, 22]","[0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.16666666666666666, 0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0]",6
1189,1369,"[131, 8, 105, 10, 52]","[0.0, 0.0, 0.8, 0.2, 0.0, 0.0, 0.2, 0.8, 0.4, 0.4, 0.2, 0.2, 0.4, 0.4, 0.6, 0.2, 0.2, 0.0, 0.8, 0.2, 0.0, 0.0]",7
1190,1182,"[3, 6, 42, 52, 25]","[0.0, 0.0, 0.4, 0.6, 0.0, 0.0, 0.2, 0.8, 0.6, 0.2, 0.2, 0.2, 0.4, 0.4, 0.4, 0.2, 0.2, 0.2, 0.4, 0.6, 0.0, 0.0]",11
1191,1183,"[2, 8, 10, 308, 984, 31]","[0.16666666666666666, 0.16666666666666666, 0.5, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 0.16666666666666666, 0.0, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0]",0
1192,1184,"[5, 3, 52, 13]","[0.0, 0.0, 0.25, 0.75, 0.0, 0.0, 0.0, 1.0, 0.75, 0.0, 0.25, 0.25, 0.25, 0.5, 0.75, 0.25, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0]",11
1193,1185,"[4, 165, 8, 59, 491, 428, 174, 48, 981, 21, 91]","[0.0, 0.09090909090909091, 0.6363636363636364, 0.2727272727272727, 0.0, 0.09090909090909091, 0.0, 0.9090909090909091, 0.45454545454545453, 0.2727272727272727, 0.2727272727272727, 0.18181818181818182, 0.5454545454545454, 0.2727272727272727, 0.2727272727272727, 0.45454545454545453, 0.18181818181818182, 0.09090909090909091, 0.8181818181818182, 0.18181818181818182, 0.0, 0.0]",7
1194,1186,"[1, 2, 229, 8, 554, 13, 174, 271, 434, 22, 119, 26, 59]","[0.07692307692307693, 0.0, 0.6923076923076923, 0.23076923076923078, 0.0, 0.07692307692307693, 0.07692307692307693, 0.8461538461538461, 0.6923076923076923, 0.23076923076923078, 0.07692307692307693, 0.07692307692307693, 0.6153846153846154, 0.3076923076923077, 0.3076923076923077, 0.6153846153846154, 0.07692307692307693, 0.0, 0.8461538461538461, 0.07692307692307693, 0.0, 0.07692307692307693]",6
1195,1187,"[248, 19, 4, 7]","[0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.25, 0.75, 0.5, 0.25, 0.25, 0.0, 0.75, 0.25, 1.0, 0.0, 0.0, 0.0, 0.75, 0.25, 0.0, 0.0]",3
1196,1188,"[10, 3, 92, 52]","[0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.25, 0.75, 0.75, 0.0, 0.25, 0.25, 0.5, 0.25, 0.5, 0.5, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0]",11
1197,1189,"[3, 5, 8, 42, 13, 174, 46, 16, 179, 22, 119, 25, 223]","[0.0, 0.07692307692307693, 0.6153846153846154, 0.3076923076923077, 0.0, 0.15384615384615385, 0.0, 0.8461538461538461, 0.6923076923076923, 0.23076923076923078, 0.07692307692307693, 0.07692307692307693, 0.5384615384615384, 0.38461538461538464, 0.23076923076923078, 0.38461538461538464, 0.3076923076923077, 0.07692307692307693, 0.8461538461538461, 0.15384615384615385, 0.0, 0.0]",7
1198,1190,"[419, 4, 8, 40, 681, 589, 240, 273, 90, 253, 31]","[0.36363636363636365, 0.0, 0.45454545454545453, 0.18181818181818182, 0.36363636363636365, 0.0, 0.0, 0.6363636363636364, 0.6363636363636364, 0.18181818181818182, 0.18181818181818182, 0.0, 0.6363636363636364, 0.36363636363636365, 0.5454545454545454, 0.18181818181818182, 0.2727272727272727, 0.0, 0.7272727272727273, 0.09090909090909091, 0.0, 0.18181818181818182]",8
1199,1191,"[1, 53, 37, 174]","[0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.25, 0.75, 0.75, 0.25, 0.0, 0.0, 0.5, 0.5, 0.25, 0.75, 0.0, 0.0, 0.75, 0.25, 0.0, 0.0]",5
1200,1192,"[1, 4, 8, 10, 16, 21, 22, 25, 26, 29, 31, 165, 38, 174, 49, 179, 59, 61, 75, 80, 92, 93, 254]","[0.17391304347826086, 0.08695652173913043, 0.5217391304347826, 0.21739130434782608, 0.13043478260869565, 0.13043478260869565, 0.13043478260869565, 0.6086956521739131, 0.6956521739130435, 0.21739130434782608, 0.08695652173913043, 0.08695652173913043, 0.4782608695652174, 0.43478260869565216, 0.2608695652173913, 0.5652173913043478, 0.17391304347826086, 0.0, 0.782608695652174, 0.17391304347826086, 0.0, 0.043478260869565216]",5
1201,1193,"[1, 1059, 5, 37, 10, 76, 270, 341, 187]","[0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.4444444444444444, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.8888888888888888, 0.1111111111111111, 0.0, 0.0, 0.4444444444444444, 0.5555555555555556, 0.4444444444444444, 0.4444444444444444, 0.0, 0.1111111111111111, 0.8888888888888888, 0.1111111111111111, 0.0, 0.0]",5
1202,1194,"[2, 4, 200, 9, 112, 48, 275, 24, 59]","[0.1111111111111111, 0.1111111111111111, 0.3333333333333333, 0.4444444444444444, 0.1111111111111111, 0.0, 0.0, 0.8888888888888888, 0.4444444444444444, 0.1111111111111111, 0.4444444444444444, 0.1111111111111111, 0.6666666666666666, 0.2222222222222222, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]",3
1203,1195,"[72, 18, 50]","[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 1.0, 0.0, 0.0, 0.0]",3
1204,1196,"[32, 323, 75, 174, 145, 22]","[0.3333333333333333, 0.0, 0.5, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.0, 0.5, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.8333333333333334, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.0, 0.5, 0.3333333333333333, 0.0, 0.16666666666666666]",10
1205,1197,"[32, 2, 5, 8, 270, 21, 22, 24]","[0.0, 0.0, 0.375, 0.625, 0.0, 0.125, 0.0, 0.875, 0.625, 0.125, 0.25, 0.125, 0.5, 0.375, 0.5, 0.375, 0.125, 0.0, 1.0, 0.0, 0.0, 0.0]",7
1206,1599,"[419, 5, 18, 24, 153, 31, 287]","[0.14285714285714285, 0.0, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285, 0.0, 0.0, 0.8571428571428571, 0.7142857142857143, 0.2857142857142857, 0.0, 0.0, 0.7142857142857143, 0.2857142857142857, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285, 0.0, 0.8571428571428571, 0.0, 0.0, 0.14285714285714285]",5
1207,1592,"[2, 8, 10, 13, 22, 26]","[0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.16666666666666666, 0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0]",7
1208,10,"[9, 118, 78]","[0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333]",8
1209,1198,"[2, 3, 41, 10, 9, 76, 16, 19, 21, 119]","[0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.1, 0.9, 0.6, 0.0, 0.4, 0.2, 0.5, 0.3, 0.6, 0.3, 0.1, 0.0, 0.8, 0.2, 0.0, 0.0]",3
1210,1199,"[130, 2, 7, 8, 10, 13, 157, 42, 174, 46, 59, 960, 76, 80, 83, 91, 861, 93, 119]","[0.15789473684210525, 0.0, 0.631578947368421, 0.21052631578947367, 0.15789473684210525, 0.0, 0.10526315789473684, 0.7368421052631579, 0.6842105263157895, 0.15789473684210525, 0.15789473684210525, 0.05263157894736842, 0.7368421052631579, 0.21052631578947367, 0.2631578947368421, 0.5789473684210527, 0.05263157894736842, 0.10526315789473684, 0.8421052631578947, 0.10526315789473684, 0.0, 0.05263157894736842]",6
1211,1200,"[7, 74, 108, 17, 214, 150, 61]","[0.7142857142857143, 0.0, 0.0, 0.2857142857142857, 0.42857142857142855, 0.0, 0.42857142857142855, 0.14285714285714285, 0.8571428571428571, 0.14285714285714285, 0.0, 0.0, 0.8571428571428571, 0.14285714285714285, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285, 0.0, 0.14285714285714285, 0.14285714285714285, 0.0, 0.7142857142857143]",4
1212,1201,"[707, 5, 8, 10, 75, 13, 48, 84, 26, 253]","[0.2, 0.0, 0.5, 0.3, 0.2, 0.0, 0.1, 0.7, 0.7, 0.2, 0.1, 0.2, 0.5, 0.3, 0.4, 0.5, 0.1, 0.0, 0.6, 0.3, 0.0, 0.1]",5
1213,1202,"[323, 38, 10, 13, 15, 23, 60]","[0.0, 0.14285714285714285, 0.5714285714285714, 0.2857142857142857, 0.0, 0.14285714285714285, 0.14285714285714285, 0.7142857142857143, 0.42857142857142855, 0.5714285714285714, 0.0, 0.2857142857142857, 0.14285714285714285, 0.5714285714285714, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.7142857142857143, 0.2857142857142857, 0.0, 0.0]",1
1214,1203,"[2, 7, 8, 9, 10, 13, 15, 18, 22, 119, 573, 223]","[0.0, 0.0, 0.5833333333333334, 0.4166666666666667, 0.0, 0.08333333333333333, 0.16666666666666666, 0.75, 0.5833333333333334, 0.25, 0.16666666666666666, 0.08333333333333333, 0.6666666666666666, 0.25, 0.3333333333333333, 0.4166666666666667, 0.16666666666666666, 0.08333333333333333, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0]",5
1215,1204,"[4, 7, 8, 105, 48, 17, 92, 223]","[0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.125, 0.875, 0.25, 0.5, 0.25, 0.125, 0.5, 0.375, 0.625, 0.125, 0.25, 0.0, 0.75, 0.25, 0.0, 0.0]",2
1216,1205,"[2, 4, 10, 80, 50, 52, 22, 30]","[0.25, 0.125, 0.375, 0.25, 0.125, 0.125, 0.375, 0.375, 0.625, 0.125, 0.25, 0.0, 0.875, 0.125, 0.375, 0.375, 0.125, 0.125, 0.875, 0.125, 0.0, 0.0]",5
1217,1206,"[37, 358, 6, 42, 16, 17, 146, 22, 214, 122, 61]","[0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.45454545454545453, 0.18181818181818182, 0.09090909090909091, 0.2727272727272727, 0.45454545454545453, 0.8181818181818182, 0.18181818181818182, 0.0, 0.0, 0.6363636363636364, 0.36363636363636365, 0.5454545454545454, 0.2727272727272727, 0.0, 0.18181818181818182, 0.2727272727272727, 0.36363636363636365, 0.0, 0.36363636363636365]",8
1218,1207,"[32, 1, 3, 707, 5, 6, 8, 9, 10, 13, 15, 16, 17, 19, 21, 25, 26, 59]","[0.0, 0.0, 0.5555555555555556, 0.4444444444444444, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334, 0.5, 0.3333333333333333, 0.16666666666666666, 0.2222222222222222, 0.3333333333333333, 0.4444444444444444, 0.4444444444444444, 0.3888888888888889, 0.1111111111111111, 0.05555555555555555, 0.7777777777777778, 0.2222222222222222, 0.0, 0.0]",7
1219,1208,"[37, 9, 42, 13, 114, 59, 29, 223]","[0.125, 0.125, 0.375, 0.375, 0.125, 0.0, 0.125, 0.75, 0.5, 0.375, 0.125, 0.0, 0.375, 0.625, 0.25, 0.375, 0.125, 0.25, 0.875, 0.125, 0.0, 0.0]",7
1220,1209,"[65, 4, 37, 8, 137, 364, 15, 368, 49, 145, 19, 52, 341, 117, 24, 90, 59, 31]","[0.05555555555555555, 0.05555555555555555, 0.3888888888888889, 0.5, 0.05555555555555555, 0.05555555555555555, 0.05555555555555555, 0.8333333333333334, 0.4444444444444444, 0.3333333333333333, 0.2222222222222222, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.6111111111111112, 0.1111111111111111, 0.16666666666666666, 0.1111111111111111, 0.5555555555555556, 0.3333333333333333, 0.0, 0.1111111111111111]",2
1221,1210,"[4, 7, 8, 10, 13, 534, 279, 419, 165, 174, 59, 317, 65, 323, 707, 75, 219, 744, 368]","[0.05263157894736842, 0.0, 0.631578947368421, 0.3157894736842105, 0.05263157894736842, 0.0, 0.10526315789473684, 0.8421052631578947, 0.5263157894736842, 0.2631578947368421, 0.21052631578947367, 0.15789473684210525, 0.3684210526315789, 0.47368421052631576, 0.3684210526315789, 0.47368421052631576, 0.15789473684210525, 0.0, 0.631578947368421, 0.3684210526315789, 0.0, 0.0]",7
1222,1211,"[1, 5, 37, 10, 75, 76, 15, 16, 20, 21, 22, 253, 254]","[0.15384615384615385, 0.0, 0.38461538461538464, 0.46153846153846156, 0.15384615384615385, 0.07692307692307693, 0.15384615384615385, 0.6153846153846154, 0.8461538461538461, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.5384615384615384, 0.3076923076923077, 0.46153846153846156, 0.46153846153846156, 0.0, 0.07692307692307693, 0.6923076923076923, 0.23076923076923078, 0.0, 0.07692307692307693]",5
1223,1212,"[65, 2, 101, 9, 907, 16, 18, 213, 21, 29]","[0.2, 0.1, 0.2, 0.5, 0.2, 0.0, 0.1, 0.7, 0.5, 0.1, 0.4, 0.2, 0.5, 0.3, 0.7, 0.3, 0.0, 0.0, 0.6, 0.3, 0.0, 0.1]",11
1224,1213,"[3, 573, 269, 144, 50, 114, 18, 29]","[0.375, 0.25, 0.125, 0.25, 0.25, 0.0, 0.25, 0.5, 0.5, 0.375, 0.125, 0.125, 0.75, 0.125, 0.25, 0.375, 0.0, 0.375, 0.625, 0.25, 0.0, 0.125]",8
