,id,places,theme,cluster
17,3236,"[545, 2, 1, 165, 134, 40, 9, 109, 46, 15, 336, 317]","[0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.08333333333333333, 0.9166666666666666, 0.5, 0.3333333333333333, 0.16666666666666666, 0.08333333333333333, 0.5833333333333334, 0.3333333333333333, 0.4166666666666667, 0.4166666666666667, 0.08333333333333333, 0.08333333333333333, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0]",7
18,3237,"[960, 2, 9, 10, 46, 112]","[0.16666666666666666, 0.0, 0.5, 0.3333333333333333, 0.16666666666666666, 0.0, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",5
19,3238,"[4, 11, 206, 19, 53, 26, 27]","[0.14285714285714285, 0.0, 0.2857142857142857, 0.5714285714285714, 0.14285714285714285, 0.0, 0.0, 0.8571428571428571, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.8571428571428571, 0.14285714285714285, 0.0, 0.0, 0.42857142857142855, 0.42857142857142855, 0.0, 0.14285714285714285]",9
20,3239,"[10, 174, 22]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",6
21,3240,"[19, 59, 85, 31]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.25, 0.75, 0.25, 0.5, 0.25, 0.0, 1.0, 0.0, 0.0, 0.0]",1
22,3241,"[1089, 98, 5, 8, 15, 22, 223]","[0.0, 0.0, 0.5714285714285714, 0.42857142857142855, 0.0, 0.14285714285714285, 0.0, 0.8571428571428571, 0.42857142857142855, 0.42857142857142855, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 1.0, 0.0, 0.0, 0.0]",7
23,383,"[192, 2, 72, 553, 11, 428, 21, 279, 26, 219, 349]","[0.0, 0.0, 0.09090909090909091, 0.9090909090909091, 0.0, 0.0, 0.0, 1.0, 0.18181818181818182, 0.2727272727272727, 0.5454545454545454, 0.6363636363636364, 0.2727272727272727, 0.09090909090909091, 0.8181818181818182, 0.18181818181818182, 0.0, 0.0, 0.36363636363636365, 0.6363636363636364, 0.0, 0.0]",9
24,3242,"[2, 3, 61, 981, 1014, 573]","[0.3333333333333333, 0.16666666666666666, 0.0, 0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5, 0.6666666666666666, 0.0, 0.3333333333333333, 0.16666666666666666, 0.8333333333333334, 0.0, 0.5, 0.5, 0.0, 0.0, 0.5, 0.3333333333333333, 0.0, 0.16666666666666666]",8
25,3243,"[8, 10, 59]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 1.0, 0.0, 0.0, 0.0]",1
26,3244,"[8, 137, 554, 74, 115, 28, 95]","[0.42857142857142855, 0.0, 0.14285714285714285, 0.42857142857142855, 0.14285714285714285, 0.0, 0.14285714285714285, 0.7142857142857143, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.5714285714285714, 0.14285714285714285, 0.5714285714285714, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.7142857142857143, 0.0, 0.0, 0.2857142857142857]",8
27,3245,"[1, 15, 785, 214, 223]","[0.4, 0.0, 0.4, 0.2, 0.4, 0.0, 0.2, 0.4, 0.6, 0.4, 0.0, 0.2, 0.6, 0.2, 0.4, 0.2, 0.2, 0.2, 0.8, 0.0, 0.0, 0.2]",0
28,3246,"[9, 2, 18, 149]","[0.0, 0.0, 0.25, 0.75, 0.0, 0.0, 0.0, 1.0, 0.25, 0.25, 0.5, 0.0, 0.75, 0.25, 0.5, 0.25, 0.0, 0.25, 1.0, 0.0, 0.0, 0.0]",3
29,3247,"[960, 707, 17, 90, 60]","[0.2, 0.0, 0.4, 0.4, 0.2, 0.0, 0.0, 0.8, 0.4, 0.4, 0.2, 0.2, 0.2, 0.6, 0.8, 0.2, 0.0, 0.0, 0.6, 0.4, 0.0, 0.0]",11
30,3248,"[223, 67, 5, 49, 17, 20, 22, 88, 31]","[0.0, 0.0, 0.2222222222222222, 0.7777777777777778, 0.0, 0.1111111111111111, 0.1111111111111111, 0.7777777777777778, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.4444444444444444, 0.5555555555555556, 0.4444444444444444, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.7777777777777778, 0.2222222222222222, 0.0, 0.0]",11
