,id,places,theme,cluster,score
10,3229,"[1, 2, 9, 47, 319]","[0.4, 0.0, 0.2, 0.4, 0.2, 0.0, 0.4, 0.4, 0.4, 0.2, 0.4, 0.0, 1.0, 0.0, 0.4, 0.4, 0.0, 0.2, 1.0, 0.0, 0.0, 0.0]",5,603079
11,3230,"[20, 76, 229, 1014]","[0.25, 0.0, 0.5, 0.25, 0.25, 0.0, 0.0, 0.75, 1.0, 0.0, 0.0, 0.0, 0.75, 0.25, 0.25, 0.75, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",6,87312
12,3231,"[2, 3, 4, 9, 13, 25]","[0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.5, 0.3333333333333333, 0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0]",3,674707
13,3232,"[37, 202, 142, 80, 22]","[0.4, 0.0, 0.4, 0.2, 0.4, 0.2, 0.0, 0.4, 0.8, 0.2, 0.0, 0.0, 0.8, 0.2, 0.2, 0.6, 0.0, 0.2, 0.6, 0.2, 0.0, 0.2]",10,105222
14,3233,"[233, 10, 22]","[0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 1.0, 0.0, 0.0, 0.0]",10,207657
15,3234,"[960, 1, 2, 3, 8, 41, 10, 15, 80, 22]","[0.2, 0.0, 0.6, 0.2, 0.2, 0.1, 0.2, 0.5, 0.6, 0.2, 0.2, 0.2, 0.7, 0.1, 0.3, 0.4, 0.2, 0.1, 0.9, 0.1, 0.0, 0.0]",5,503021
16,3235,"[1, 98, 7, 8, 40, 174, 79, 17, 21]","[0.0, 0.0, 0.4444444444444444, 0.5555555555555556, 0.0, 0.0, 0.2222222222222222, 0.7777777777777778, 0.4444444444444444, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.6666666666666666, 0.2222222222222222, 0.3333333333333333, 0.5555555555555556, 0.1111111111111111, 0.0, 0.8888888888888888, 0.1111111111111111, 0.0, 0.0]",5,331145
17,3236,"[545, 2, 1, 165, 134, 40, 9, 109, 46, 15, 336, 317]","[0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.08333333333333333, 0.9166666666666666, 0.5, 0.3333333333333333, 0.16666666666666666, 0.08333333333333333, 0.5833333333333334, 0.3333333333333333, 0.4166666666666667, 0.4166666666666667, 0.08333333333333333, 0.08333333333333333, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0]",7,302007
18,3237,"[960, 2, 9, 10, 46, 112]","[0.16666666666666666, 0.0, 0.5, 0.3333333333333333, 0.16666666666666666, 0.0, 0.16666666666666666, 0.6666666666666666, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",5,362958
19,3238,"[4, 11, 206, 19, 53, 26, 27]","[0.14285714285714285, 0.0, 0.2857142857142857, 0.5714285714285714, 0.14285714285714285, 0.0, 0.0, 0.8571428571428571, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.8571428571428571, 0.14285714285714285, 0.0, 0.0, 0.42857142857142855, 0.42857142857142855, 0.0, 0.14285714285714285]",9,289232
20,3239,"[10, 174, 22]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",6,211835
21,3240,"[19, 59, 85, 31]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.25, 0.75, 0.25, 0.5, 0.25, 0.0, 1.0, 0.0, 0.0, 0.0]",1,144187
22,3241,"[1089, 98, 5, 8, 15, 22, 223]","[0.0, 0.0, 0.5714285714285714, 0.42857142857142855, 0.0, 0.14285714285714285, 0.0, 0.8571428571428571, 0.42857142857142855, 0.42857142857142855, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 1.0, 0.0, 0.0, 0.0]",7,241015
23,383,"[192, 2, 72, 553, 11, 428, 21, 279, 26, 219, 349]","[0.0, 0.0, 0.09090909090909091, 0.9090909090909091, 0.0, 0.0, 0.0, 1.0, 0.18181818181818182, 0.2727272727272727, 0.5454545454545454, 0.6363636363636364, 0.2727272727272727, 0.09090909090909091, 0.8181818181818182, 0.18181818181818182, 0.0, 0.0, 0.36363636363636365, 0.6363636363636364, 0.0, 0.0]",9,200929
24,3242,"[2, 3, 61, 981, 1014, 573]","[0.3333333333333333, 0.16666666666666666, 0.0, 0.5, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5, 0.6666666666666666, 0.0, 0.3333333333333333, 0.16666666666666666, 0.8333333333333334, 0.0, 0.5, 0.5, 0.0, 0.0, 0.5, 0.3333333333333333, 0.0, 0.16666666666666666]",8,389877
25,3243,"[8, 10, 59]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 1.0, 0.0, 0.0, 0.0]",1,314164
26,3244,"[8, 137, 554, 74, 115, 28, 95]","[0.42857142857142855, 0.0, 0.14285714285714285, 0.42857142857142855, 0.14285714285714285, 0.0, 0.14285714285714285, 0.7142857142857143, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.5714285714285714, 0.14285714285714285, 0.5714285714285714, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.7142857142857143, 0.0, 0.0, 0.2857142857142857]",8,129776
27,3245,"[1, 15, 785, 214, 223]","[0.4, 0.0, 0.4, 0.2, 0.4, 0.0, 0.2, 0.4, 0.6, 0.4, 0.0, 0.2, 0.6, 0.2, 0.4, 0.2, 0.2, 0.2, 0.8, 0.0, 0.0, 0.2]",0,325489
28,3246,"[9, 2, 18, 149]","[0.0, 0.0, 0.25, 0.75, 0.0, 0.0, 0.0, 1.0, 0.25, 0.25, 0.5, 0.0, 0.75, 0.25, 0.5, 0.25, 0.0, 0.25, 1.0, 0.0, 0.0, 0.0]",3,468051
29,3247,"[960, 707, 17, 90, 60]","[0.2, 0.0, 0.4, 0.4, 0.2, 0.0, 0.0, 0.8, 0.4, 0.4, 0.2, 0.2, 0.2, 0.6, 0.8, 0.2, 0.0, 0.0, 0.6, 0.4, 0.0, 0.0]",11,86477
30,3248,"[223, 67, 5, 49, 17, 20, 22, 88, 31]","[0.0, 0.0, 0.2222222222222222, 0.7777777777777778, 0.0, 0.1111111111111111, 0.1111111111111111, 0.7777777777777778, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.4444444444444444, 0.5555555555555556, 0.4444444444444444, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.7777777777777778, 0.2222222222222222, 0.0, 0.0]",11,201010
31,3249,"[32, 199, 40, 361, 43, 558, 111, 144, 188, 52, 86, 31, 831]","[0.3076923076923077, 0.07692307692307693, 0.46153846153846156, 0.15384615384615385, 0.23076923076923078, 0.07692307692307693, 0.07692307692307693, 0.6153846153846154, 0.6923076923076923, 0.23076923076923078, 0.07692307692307693, 0.0, 0.8461538461538461, 0.15384615384615385, 0.38461538461538464, 0.3076923076923077, 0.3076923076923077, 0.0, 0.5384615384615384, 0.15384615384615385, 0.0, 0.3076923076923077]",8,78257
32,3250,"[1, 7, 9, 110, 18, 22, 152, 31]","[0.25, 0.0, 0.5, 0.25, 0.25, 0.125, 0.25, 0.375, 0.75, 0.125, 0.125, 0.0, 0.875, 0.125, 0.375, 0.5, 0.125, 0.0, 0.625, 0.125, 0.0, 0.25]",10,356684
33,3251,"[4, 229, 8, 40, 712, 10, 174, 915, 19, 597, 93, 31]","[0.0, 0.08333333333333333, 0.8333333333333334, 0.08333333333333333, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334, 0.75, 0.16666666666666666, 0.08333333333333333, 0.0, 0.5, 0.5, 0.25, 0.5833333333333334, 0.16666666666666666, 0.0, 1.0, 0.0, 0.0, 0.0]",6,203201
34,3252,"[5, 38, 10, 237, 118, 313, 61, 30]","[0.125, 0.375, 0.125, 0.375, 0.0, 0.125, 0.625, 0.25, 0.875, 0.0, 0.125, 0.0, 0.75, 0.25, 0.25, 0.375, 0.125, 0.25, 0.75, 0.125, 0.0, 0.125]",10,194673
35,3253,"[2, 309, 5]","[0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",3,618283
36,3254,"[1, 200, 8, 41, 10, 174, 22, 119, 91, 60]","[0.0, 0.1, 0.9, 0.0, 0.0, 0.1, 0.2, 0.7, 0.7, 0.3, 0.0, 0.1, 0.8, 0.1, 0.1, 0.6, 0.2, 0.1, 0.8, 0.1, 0.1, 0.0]",6,278151
37,3255,"[4, 39, 9, 74, 13, 59]","[0.16666666666666666, 0.0, 0.6666666666666666, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334, 0.5, 0.16666666666666666, 0.3333333333333333, 0.0, 0.5, 0.5, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.8333333333333334, 0.0, 0.0, 0.16666666666666666]",7,331387
38,3256,"[1, 52, 29, 9]","[0.25, 0.0, 0.25, 0.5, 0.25, 0.0, 0.25, 0.5, 0.75, 0.0, 0.25, 0.0, 0.5, 0.5, 0.5, 0.5, 0.0, 0.0, 0.75, 0.25, 0.0, 0.0]",5,490968
39,3257,"[1, 8, 40, 109, 662, 314]","[0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334, 0.6666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.5, 0.3333333333333333, 0.16666666666666666, 0.5, 0.3333333333333333, 0.0, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0]",7,325213
40,3258,"[17, 132, 36]","[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 1.0, 0.0, 0.0, 0.0]",2,145083
41,3259,"[200, 10, 174]","[0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0]",6,156754
42,41,"[65, 10, 420, 58]","[0.25, 0.25, 0.25, 0.25, 0.0, 0.25, 0.25, 0.5, 0.5, 0.25, 0.25, 0.25, 0.75, 0.0, 0.75, 0.25, 0.0, 0.0, 0.25, 0.5, 0.0, 0.25]",8,154093
43,42,"[5, 9, 78, 15, 80, 19, 22, 30, 223]","[0.2222222222222222, 0.1111111111111111, 0.3333333333333333, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.5555555555555556, 0.6666666666666666, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.6666666666666666, 0.2222222222222222, 0.3333333333333333, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.8888888888888888, 0.0, 0.0, 0.1111111111111111]",0,236087
44,43,"[65, 419, 174, 24, 59, 60]","[0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 1.0, 0.5, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",7,96261
45,44,"[8, 205, 45]","[0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0, 1.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 1.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 1.0, 0.0, 0.0, 0.0]",1,203804
46,45,"[2, 223, 707, 134, 10, 13, 22, 310, 31]","[0.0, 0.0, 0.5555555555555556, 0.4444444444444444, 0.0, 0.1111111111111111, 0.1111111111111111, 0.7777777777777778, 0.4444444444444444, 0.4444444444444444, 0.1111111111111111, 0.0, 0.3333333333333333, 0.6666666666666666, 0.1111111111111111, 0.4444444444444444, 0.4444444444444444, 0.0, 1.0, 0.0, 0.0, 0.0]",1,264899
47,46,"[10, 75, 179, 22, 223]","[0.2, 0.2, 0.4, 0.2, 0.2, 0.4, 0.2, 0.2, 0.8, 0.2, 0.0, 0.0, 0.8, 0.2, 0.0, 0.6, 0.4, 0.0, 0.8, 0.2, 0.0, 0.0]",10,152435
48,47,"[2, 3, 134, 8, 13, 18, 179, 22, 573]","[0.0, 0.1111111111111111, 0.4444444444444444, 0.4444444444444444, 0.0, 0.2222222222222222, 0.0, 0.7777777777777778, 0.5555555555555556, 0.2222222222222222, 0.2222222222222222, 0.1111111111111111, 0.5555555555555556, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.7777777777777778, 0.2222222222222222, 0.0, 0.0]",7,391968
49,48,"[1, 257, 3, 4, 98, 6, 67, 8, 11, 19, 52, 21, 22, 179]","[0.07142857142857142, 0.07142857142857142, 0.35714285714285715, 0.5, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.6428571428571429, 0.5714285714285714, 0.14285714285714285, 0.2857142857142857, 0.21428571428571427, 0.5714285714285714, 0.21428571428571427, 0.5, 0.35714285714285715, 0.14285714285714285, 0.0, 0.5714285714285714, 0.35714285714285715, 0.0, 0.07142857142857142]",11,404986
50,49,"[4, 165, 586, 13, 211, 52, 25, 26, 61]","[0.2222222222222222, 0.0, 0.4444444444444444, 0.3333333333333333, 0.0, 0.0, 0.1111111111111111, 0.8888888888888888, 0.6666666666666666, 0.2222222222222222, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.6666666666666666, 0.3333333333333333, 0.5555555555555556, 0.1111111111111111, 0.0, 0.5555555555555556, 0.2222222222222222, 0.0, 0.2222222222222222]",7,214696
51,50,"[1, 98, 419, 165, 229, 38, 40, 46, 22, 280, 314, 123, 796, 317]","[0.0, 0.14285714285714285, 0.6428571428571429, 0.21428571428571427, 0.0, 0.14285714285714285, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 0.21428571428571427, 0.07142857142857142, 0.0, 0.5714285714285714, 0.42857142857142855, 0.2857142857142857, 0.5714285714285714, 0.14285714285714285, 0.0, 0.9285714285714286, 0.0, 0.0, 0.07142857142857142]",6,155795
52,51,"[1, 2, 134, 6, 80, 310, 94]","[0.14285714285714285, 0.0, 0.14285714285714285, 0.7142857142857143, 0.14285714285714285, 0.0, 0.2857142857142857, 0.5714285714285714, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.0, 0.7142857142857143, 0.2857142857142857, 0.14285714285714285, 0.5714285714285714, 0.2857142857142857, 0.0, 0.8571428571428571, 0.14285714285714285, 0.0, 0.0]",5,474389
53,52,"[2, 134, 8, 10, 13, 19, 25, 22, 310, 153, 94, 31]","[0.08333333333333333, 0.0, 0.5833333333333334, 0.3333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.75, 0.4166666666666667, 0.4166666666666667, 0.16666666666666666, 0.0, 0.4166666666666667, 0.5833333333333334, 0.16666666666666666, 0.4166666666666667, 0.4166666666666667, 0.0, 0.9166666666666666, 0.0, 0.0, 0.08333333333333333]",1,276788
54,53,"[108, 589, 143, 273, 253, 446]","[0.8333333333333334, 0.0, 0.16666666666666666, 0.0, 0.8333333333333334, 0.0, 0.0, 0.16666666666666666, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666]",4,32421
55,54,"[2, 3, 6, 134, 13, 590, 310, 25]","[0.0, 0.0, 0.25, 0.75, 0.0, 0.0, 0.125, 0.875, 0.375, 0.375, 0.25, 0.125, 0.25, 0.625, 0.375, 0.25, 0.375, 0.0, 0.75, 0.25, 0.0, 0.0]",2,428121
56,55,"[32, 38, 41, 10, 253]","[0.2, 0.2, 0.6, 0.0, 0.2, 0.2, 0.2, 0.4, 1.0, 0.0, 0.0, 0.0, 0.8, 0.2, 0.4, 0.4, 0.2, 0.0, 0.8, 0.0, 0.0, 0.2]",10,169345
57,56,"[1, 104, 113, 18, 179, 22]","[0.3333333333333333, 0.16666666666666666, 0.5, 0.0, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 1.0, 0.0, 0.0, 0.5, 0.16666666666666666, 0.3333333333333333, 1.0, 0.0, 0.0, 0.0]",10,314873
58,57,"[1, 2, 3, 452, 5, 134, 6, 37, 9, 76, 46, 16, 17, 50, 59, 61]","[0.125, 0.0, 0.25, 0.625, 0.0, 0.0, 0.25, 0.75, 0.5, 0.3125, 0.1875, 0.0625, 0.5, 0.4375, 0.4375, 0.375, 0.0625, 0.125, 0.6875, 0.25, 0.0, 0.0625]",11,402064
59,58,"[7, 11, 139, 428, 48, 26, 157]","[0.0, 0.0, 0.14285714285714285, 0.8571428571428571, 0.0, 0.0, 0.14285714285714285, 0.8571428571428571, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.7142857142857143, 0.2857142857142857, 0.0, 0.8571428571428571, 0.14285714285714285, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",9,180790
60,59,"[3, 4, 9, 233, 338, 179, 470, 22]","[0.25, 0.25, 0.25, 0.25, 0.125, 0.25, 0.0, 0.625, 0.5, 0.125, 0.375, 0.125, 0.625, 0.25, 0.5, 0.125, 0.25, 0.125, 0.875, 0.125, 0.0, 0.0]",3,332035
61,60,"[65, 1, 3, 131, 37, 389, 647, 105, 13, 174, 79, 145, 52, 22, 26, 187]","[0.125, 0.0, 0.375, 0.5, 0.0625, 0.0625, 0.0625, 0.8125, 0.5625, 0.1875, 0.25, 0.3125, 0.4375, 0.25, 0.625, 0.375, 0.0, 0.0, 0.5625, 0.375, 0.0, 0.0625]",11,234942
62,61,"[8, 13, 17, 25, 573, 382]","[0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.16666666666666666, 0.8333333333333334, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.8333333333333334, 0.16666666666666666, 0.0, 0.0]",2,202535
63,62,"[2, 3, 8, 9, 13, 52]","[0.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0, 1.0, 0.3333333333333333, 0.16666666666666666, 0.5, 0.16666666666666666, 0.3333333333333333, 0.5, 0.6666666666666666, 0.16666666666666666, 0.16666666666666666, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",9,585216
64,63,"[2, 134, 554, 13, 52, 244, 310, 219, 94]","[0.0, 0.0, 0.2222222222222222, 0.7777777777777778, 0.0, 0.0, 0.0, 1.0, 0.4444444444444444, 0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.3333333333333333, 0.5555555555555556, 0.5555555555555556, 0.2222222222222222, 0.2222222222222222, 0.0, 0.7777777777777778, 0.2222222222222222, 0.0, 0.0]",2,206956
65,64,"[66, 4, 295, 10, 15, 145, 83, 24, 153, 61, 184, 223]","[0.3333333333333333, 0.08333333333333333, 0.3333333333333333, 0.25, 0.25, 0.16666666666666666, 0.16666666666666666, 0.4166666666666667, 0.5833333333333334, 0.25, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.3333333333333333, 0.4166666666666667, 0.16666666666666666, 0.08333333333333333, 0.5, 0.08333333333333333, 0.0, 0.4166666666666667]",8,189410
66,66,"[707, 8, 105, 13, 142, 15, 275, 25, 59, 31]","[0.2, 0.0, 0.8, 0.0, 0.2, 0.0, 0.0, 0.8, 0.4, 0.6, 0.0, 0.1, 0.3, 0.6, 0.2, 0.4, 0.3, 0.1, 0.8, 0.0, 0.0, 0.2]",1,165710
67,67,"[354, 37, 72, 111, 17, 52, 377, 26, 92, 61]","[0.3, 0.0, 0.1, 0.6, 0.1, 0.0, 0.1, 0.8, 0.7, 0.2, 0.1, 0.2, 0.4, 0.4, 0.7, 0.2, 0.0, 0.1, 0.4, 0.3, 0.0, 0.3]",11,106598
68,68,"[13, 52, 91, 92, 31]","[0.0, 0.0, 0.8, 0.2, 0.0, 0.0, 0.0, 1.0, 0.6, 0.4, 0.0, 0.0, 0.4, 0.6, 0.2, 0.4, 0.2, 0.2, 0.8, 0.2, 0.0, 0.0]",1,152563
69,69,"[824, 187, 380, 270]","[0.5, 0.0, 0.0, 0.5, 0.25, 0.0, 0.0, 0.75, 1.0, 0.0, 0.0, 0.0, 0.25, 0.75, 0.75, 0.25, 0.0, 0.0, 0.75, 0.25, 0.0, 0.0]",11,22069
70,70,"[1, 8, 112, 18, 60]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.2, 0.8, 0.6, 0.4, 0.0, 0.2, 0.6, 0.2, 0.2, 0.6, 0.2, 0.0, 0.8, 0.2, 0.0, 0.0]",6,425414
71,71,"[1, 3, 4, 9, 61]","[0.2, 0.0, 0.4, 0.4, 0.0, 0.0, 0.4, 0.6, 0.4, 0.0, 0.6, 0.2, 0.8, 0.0, 0.6, 0.4, 0.0, 0.0, 0.6, 0.2, 0.0, 0.2]",3,746768
72,72,"[1, 2, 223, 134, 15, 310, 575]","[0.0, 0.14285714285714285, 0.2857142857142857, 0.5714285714285714, 0.0, 0.0, 0.14285714285714285, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714, 0.14285714285714285, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.14285714285714285, 0.2857142857142857, 0.42857142857142855, 0.14285714285714285, 1.0, 0.0, 0.0, 0.0]",2,408433
73,73,"[2, 219, 94]","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",9,433614
74,74,"[5, 8, 112, 22, 60, 573]","[0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.0, 0.8333333333333334, 0.6666666666666666, 0.3333333333333333, 0.0, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.5, 0.3333333333333333, 0.16666666666666666, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",5,246448
75,75,"[65, 2, 3, 8, 9, 10, 15, 18, 19, 59]","[0.0, 0.0, 0.6, 0.4, 0.0, 0.0, 0.1, 0.9, 0.3, 0.3, 0.4, 0.3, 0.4, 0.3, 0.5, 0.3, 0.1, 0.1, 0.8, 0.2, 0.0, 0.0]",3,439217
